"category","effect_primary","effect_categories","id","name","details","effect_sources","attribute_effects","passive_ids","passive_triggers","duration","duration_label","type","estimate","estimate_label","group","control_type","flags","immune_abilities","has_anti_need","has_fake_need","buff_tag","icon"
"passive","attack","attack","70186","Sức mạnh hỏa","Hạ gục Phân Thân Lửa, sát thương đối với Phân Thân Băng tăng gấp đôi","passive:event:adj_dmg","","701861","adjust_params_out","100.0","100.0","1","1","buff","","0","","","1","1","","buff_120_ranshao.png"
"passive","attack","attack","70187","Sức mạnh của Hoa","Hạ gục Phân Thân Băng, sát thương đối với Phân Thân Lửa tăng gấp đôi","passive:event:adj_dmg","","701871","adjust_params_out","100.0","100.0","1","1","buff","","0","","","1","1","","buff_120_shuangdong.png"
"passive","attack","attack","96012","Ẩm Vũ","","passive:event:adj_dmg","","960121","adjust_params_out","-1.0","infinite","2","1","buff","","","","","","1","",""
"passive","attack","attack","96044","Nhân vật chính Tự Tại Không Cản Trở đột phá2đánh dấu","","passive:event:adj_dmg","","960441","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","96046","Nhân vật chính Tay Ngọc Vàng đột phá1đánh dấu","","passive:event:adj_dmg","","960461","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","96050","Nhân vật chính Bắt Sao Nắm Trăng đột phá1đánh dấu","","passive:event:adj_dmg","","960501","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","96052","Nhân vật chính Bắt Sao Nắm Trăng đột phá2gây Dễ tổn thương cho Mục tiêu","","attr:MAX_W_ATK_RATE; attr:MIN_W_ATK_RATE","MAX_W_ATK_RATE; MIN_W_ATK_RATE","960521","","10.0","10.0","1","2","debuff","","0","show=1","","1","1","",""
"passive","attack","attack","96054","Nhân vật chính Thái Cực đột phá1đánh dấu","","passive:event:adj_dmg","","960541","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","96058","Nhân vật chính Đạp Lên Mây Cao đột phá1đánh dấu","","passive:event:adj_dmg","","960581","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98693","Nhân vật chính Diệp Long đột phá 2 dấu hiệu","","passive:event:adj_dmg_by_hp","","986931","adjust_params_out","1.0","1.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98694","Nhân vật chính Diệp Long đột phá 3 dấu hiệu","","passive:event:adj_dmg_by_hp","","986941","adjust_params_out","1.0","1.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98759","Quyền say đột phá chồng tầng","","passive:event:adj_dmg","","987591","adjust_params_out","5.0","5.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98760","Nhân vật chính Tự Tại Không Cản Trở đột phá4đánh dấu","","passive:event:adj_dmg; passive:event:ex_zq_dmg","","987601","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98766","Nhân vật chính Tự Tại Không Cản Trở đột phá1đánh dấu","","passive:event:adj_dmg","","987661","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98767","Nhân vật chính gậy đánh chó đột phá1đánh dấu-Người chơi tăng sát thương","","passive:event:adj_dmg","","987671","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98770","Nhân vật chính Yaksha đột phá1dấu hiệu - Người chơi tăng sát thương","","passive:event:adj_dmg","","987701","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98774","Cưỡi Rồng Quay Ngựa đột phá1dấu hiệu - Người chơi tăng sát thương","","passive:event:adj_dmg","","987741","adjust_params_out","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","98791","Đạp Lên Mây Cao đột phá dấu hiệu Kiên cường","","passive:event:do_calcpoint","","987911","adjust_calcpoint_hit_tg","10.0","10.0","1","1","buff","","","show=1","","","1","",""
"passive","attack","attack","102404","Tăng cường kỹ năng tích lực","Sát thương gây ra bởi kỹ năng tích lực tăng 10%.","passive:event:adj_dmg","","1024041","adjust_params_out","18000.0","18000.0","2","1","buff","","0","","","","1","[102400]","buff_zengxiao.png"
"passive","attack","attack","102405","Tăng cường Kỹ năng chủ động","Sát thương gây ra bởi kỹ năng võ học tăng 6.5%.","passive:event:adj_dmg","","1024051","adjust_params_out","18000.0","18000.0","2","1","buff","","0","","","","1","[102400]","buff_zengxiao.png"
"passive","attack","attack","102406","Tăng cường Tấn công nhẹ và Tấn công mạnh","Sát thương gây ra bởi Tấn công nhẹ và Tấn công mạnh tăng 10%.","passive:event:adj_dmg","","1024061","adjust_params_out","18000.0","18000.0","2","1","buff","","0","","","","1","[102400]","buff_zengxiao.png"
"passive","attack","attack","102454","Tăng cường kỹ năng tích lực","Sát thương gây ra bởi kỹ năng tích lực tăng 20%.","passive:event:adj_dmg","","1024541","adjust_params_out","18000.0","18000.0","2","1","buff","","0","","","","1","[102400]","buff_zengxiao.png"
"passive","attack","attack","102455","Tăng cường kỹ năng chủ động","Sát thương gây ra bởi kỹ năng võ học tăng 13%.","passive:event:adj_dmg","","1024551","adjust_params_out","18000.0","18000.0","2","1","buff","","0","","","","1","[102400]","buff_zengxiao.png"
